RowID	symbol	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119	cdc15_10	cdc15_30	cdc15_50	cdc15_70	cdc15_80	cdc15_90	cdc15_100	cdc15_110	cdc15_120	cdc15_130	cdc15_140	cdc15_150	cdc15_160	cdc15_170	cdc15_180	cdc15_190	cdc15_200	cdc15_210	cdc15_220	cdc15_230	cdc15_240	cdc15_250	cdc15_270	cdc15_290	cdc28_0	cdc28_10	cdc28_20	cdc28_30	cdc28_40	cdc28_50	cdc28_60	cdc28_70	cdc28_80	cdc28_90	cdc28_100	cdc28_110	cdc28_120	cdc28_130	cdc28_140	cdc28_150	cdc28_160	elu0	elu30	elu60	elu90	elu120	elu150	elu180	elu210	elu240	elu270	elu300	elu330	elu360	elu390
1717	YER086W	0.08	-0.46	-0.16	-0.18	0.26	-0.18	0.41	-0.18	0.1	0.12	-0.14	0.02	0.15	-0.04	0.22	-0.01	0.03	-0.05	0.03	0.02	0.12	0.33	0.35	0.31	-0.05	-0.02	-0.01	0.07	0.12	0.16	-0.22	0.08	0.28	0.13	0.16	0.12	-0.21	-1	0.17	-0.27	-0.44	-0.19	-0.69	0.23	0.32	0.26	-0.1	-0.39	-0.11	-0.13	0.01	-0.03	-0.19	-0.1	0.29	0.105	0.15	0.47	-0.01	-1.79	-0.52	-0.49	-0.29	0.19	0.19	0	0.54	0.3	0.63	0.19	0.13	0.35	0.56
1718	YER087C-A	0.003592804	-0.049941155	0.024934907	-0.00623694	0.028968491	0.009277758	0.077357486	0.002213244	0.052710812	-0.002511709	0.020301926	-0.013739823	0.046342137	-0.1591458	-0.017195334	0.002202216	-0.003950768	-0.022870906	-0.34	-0.3	-0.06	0.49	0.66	0	0.22	-0.23	0.1	-0.07	-0.01	0.07	0.28	-0.09	0.25	-0.23	0.1	0.15	0.32	-0.55	0.38	-0.49	-0.55	-0.1	-0.72	-0.17	0.12	0.19	0.22	-0.26	0.13	-0.06	-0.27	0.56	0.21	0.27	-0.14	0.039579439	0.08	0.16	-0.33	0.01489011	-0.10198999	-0.052958478	0.00140031	0.038945567	-0.010811878	-0.004739458	0.057063669	0.036956671	0.017041988	0.007730156	0.025936911	-0.067776243	0.036715829
1719	YER087W	-0.14	0.12	0.13	0.43	-0.28	0.58	-0.34	-0.08	-0.05	0.04	-0.08	-0.08	-0.17	-0.21	-0.12	0.18	0	0.06	-0.04	-0.19	-0.03	0.05	-0.11	0.19	-0.33	0.08	-0.12	0.12	-0.26	-0.22	-0.19	0.03	-0.09	-0.01	-0.03	0.09	-0.11	0.26	-0.14	0.29	0.41	0.35	0.59	0	-0.71	-0.37	-0.04	-0.18	-0.01	0.07	-0.04	0.15	0.02	0.08	0.3	0.05	0.08	0.036666667	0.212222222	0.25	0.42	-0.02	0.3	0.06	0.07	0.06	-0.02	-0.25	-0.2	-0.09	-0.22	-0.33	-0.02
1720	YER088C	0.18	0.003333333	-0.33	-0.2	-0.3	-0.25	-0.13	0.03	0.15	-0.23	0.38	0.05	0.31	0.11	0.07	0.33	-0.18	0.03	0.03	-0.2	0.14	0.72	-0.07	0.29	-0.03	0.12	0.09	0.2	-0.08	0.43	0.21	0.14	-0.67	0.07	-0.41	0.04	0.47	-0.17	-0.49	-0.14	-0.26	-0.41	0.14	0.09	0.6	0.37	0.34	-0.04	-0.05	0	-0.24	0.05	-0.22	-0.32	-0.2	-0.24	-0.033333333	-0.05	-0.22	0.7	-0.13	0.31	-0.05	-0.34	0.09	0.09	-0.01	-0.19	0.2	-0.08	-0.04	-0.42	-0.15
1721	YER089C	0.2	-0.18	-0.16	-0.3	-0.09	-0.44	0.1	-0.3	0.02	-0.07	-0.1	0.09	0.2	0	0.14	0.74	0.14	0.02	0.17	0.08	0.12	0.1	0.39	-0.19	-0.05	0.05	0.2	-0.16	-0.06	-0.11	0.34	0.05	0.03	-0.42	0.3	-0.21	0.5	0.24	0.43	-0.61	-0.3	-0.87	0.03	-0.06	-0.15	0.2	0.21	0.27	0.56	0.49	-0.25	0.07	-0.28	-0.23	0.09	-0.1	-0.106	-0.32	-0.52	-1.58	0.17	0.07	0.09	-0.23	0	0.37	0.1	0.31	0.33	-0.15	0.44	-0.09	0.18
1722	YER090W	-0.08	-0.25	-0.1	-0.08	-0.21	0.06	-0.08	0.02	0.25	-0.2	0.41	-0.07	0.07	-0.04	0.05	0.3	-0.2	0.15	-0.097777778	-0.51	0.105	0.175555556	0.164	0.102222222	0.06	0.016666667	-0.267	-0.095555556	-0.375	0.116666667	-0.107	0.45	0.131	0.126666667	0.077777778	0.028888889	0.139	-0.058	0.026	-0.049	-0.191111111	-0.036	-0.39	-0.14	0.07	0	0.01	-0.33	0.08	0.24	-0.15	0.23	-0.14	-0.26	0.17	0.135	0.12	0.28	0.22	-0.64	0	0.19	0.06	0.03	-0.11	-0.05	-0.02	-0.08	0.21	0.19	0.15	-0.08	0.15
1723	YER091C	-0.36	0.69	0.22	-0.55	-1.01	0.58	0.66	0.74	0.27	-0.21	-0.08	-0.21	-0.49	-0.53	-0.1	0.53	-0.16	0	-0.5	-0.75	-0.29	0.92	0.74	-0.54	-1.36	-1.46	-0.64	0.03	0.51	0.76	1.08	0.77	0.74	-0.37	0.02	-0.77	-0.52	0.02	0.53	0.51	0.37	0.22	-1	-0.82	-0.26	0.24	0.47	-0.14	0.05	-0.03	-0.44	0.75	0.33	0.06	0.09	0.01	0.1	0.24	0.44	-0.98	1.49	0.08	0.52	-0.36	-0.54	-0.62	-0.32	-0.09	0.33	-0.05	0.04	0.32	0.18
1724	YER092W	-0.06	-0.14	0.03	0.1	-0.22	0.33	-0.24	0.24	-0.01	-0.38	0.23	-0.03	-0.01	-0.15	0.1	0.19	0.03	-0.01	0.23	0.23	0.27	-1.52	-0.3	-0.16	0.168	0.08	0.132222222	0.07	-0.08	0	-0.03	0.06	0.2	-0.03	0.244	-0.13	0.84	-0.09	0.404	-0.01	0.14	0.22	0.27	0.5	0.61	0.46	0.23	-0.52	-0.08	0.03	-0.18	-0.07	0.12	-0.13	-0.39	-0.24	0.008	-0.37	-0.24	-0.36	0.19	0.21	0.12	0.07	-0.08	-0.01	-0.22	-0.07	-0.01	0.2	0	-0.13	0.08
1725	YER093C	-0.14	0	0	0.22	0.07	-0.12	-0.23	0.01	0.26	-0.37	1.13	-0.4	-0.4	-0.3	0.63	-0.26	0.1	-0.2	-0.55	0.23	-0.2	-0.25	0.2	0.08	-0.11	0.13	-0.01	0.2	-0.13	0.14	0.27	0.14	-0.07	-0.04	-0.16	0.08	0.04	-0.06	0.42	-0.22	-0.11	-0.04	-0.33	0.31	-0.25	-0.18	0.42	0.26	-0.48	0.11	0.05	-0.21	-0.22	0.03	0.13	0.21	-0.084	0.15	0	-0.31	0.24	0.27	0.56	0.31	-0.13	-0.07	-0.27	0.03	0.05	-0.29	-0.25	-0.25	0.08
1726	YER093C-A	0.003592804	-0.049941155	0.024934907	-0.00623694	0.028968491	0.009277758	0.077357486	0.002213244	0.052710812	-0.002511709	0.020301926	-0.013739823	0.046342137	-0.1591458	-0.017195334	0.002202216	-0.003950768	-0.022870906	-0.044787273	0	-0.38	0.04	0.72	-0.082266233	-0.65	-0.29	0.19	0.63	-0.46	0.67	0.49	-1	0.077668932	-0.81	0.00870283	-0.05	0.078841634	0.009872495	1.31	-0.67	0.57	-0.31	0.51	0.39	0.18	0.2	0	-0.14	-0.6	-0.32	-0.42	0.29	0.1	0.15	0.24	-0.55	-0.44	0.13	0.27	0.01489011	-0.10198999	-0.052958478	0.00140031	0.038945567	-0.010811878	-0.004739458	0.057063669	0.036956671	0.017041988	0.007730156	0.025936911	-0.067776243	0.036715829
1727	YER094C	-0.06	0.01	0.14	0.19	-0.1	0.18	-0.13	0.1	0.09	-0.4	0.29	0.09	0.02	-0.18	-0.03	0.01	-0.155	-0.21	-0.46	-0.35	-0.17	0.39	-0.047777778	-0.41	-0.244444444	-0.39	-0.263333333	-0.03	-0.17	0.23	-0.126666667	0.05	-0.298888889	-0.08	-0.451111111	0.03	-0.095555556	0.21	-0.092222222	0.23	0.35	0.39	-0.26	-0.03	-0.24	-0.09	-0.05	-0.2	-0.32	-0.17	-0.22	0.36	0.15	0.33	0.2	0.25	0.07	0.35	0.11	0.34	0.09	0.11	-0.17	-0.23	-0.1	-0.03	-0.07	-0.14	-0.07	0.09	0.09	0	0.1
1728	YER095W	-0.57	0.42	1.03	1.35	0.64	0.42	-0.4	-0.9	-0.73	-0.47	0.2	0.78	0.28	-0.05	-0.11	-0.13	-0.87	-0.9	-0.9	0.26	0.73	0.07	-0.05	-0.51	-0.75	-1.19	-0.66	0.49	1.02	1.34	1.09	0.51	0.52	-0.07	-0.2	-0.66	-0.8	-0.98	0.36	0.05	0.17	0.18	-0.87	0.18	0.68	0.45	0.04	-0.28	-0.51	-0.42	-0.38	0.43	0.56	0.58	0.33	-0.113333333	-0.11	-0.13	-0.57	-1.51	-0.65	0.4	-0.4	0.01	0.52	0.46	0.66	0.19	0.19	0.18	-0.19	-0.01	0.16
1729	YER096W	-0.03	-0.11	-0.02	0.03	-0.05	0.16	-0.31	0.03	0.2	-0.27	0.25	0.04	0.06	-0.03	-0.03	0.3	-0.22	-0.02	0.97	1	1.13	0.02	-0.22	-0.41	-0.27	-0.12	0.02	-0.1	-0.22	-0.15	-0.07	0.08	-0.51	-0.22	-0.53	-0.44	0.57	-0.02	0.2	-0.24	-0.19	-0.28	0.55	0.87	0.79	1.3	0.55	0.34	-0.05	0.13	-0.33	-0.45	-0.91	-0.33	-0.11	-0.33	-0.52	-0.27	-1.21	-0.06	0.23	0.45	0.55	0.06	0.04	0.06	-0.24	-0.24	-0.09	-0.17	-0.51	-0.14	0.06
1730	YER097W	-0.23	0.07	0.15	0.22	-0.53	0.33	-0.48	0.25	0.09	0.16	-0.1	0.05	0.09	-0.01	-0.37	0.37	0	-0.05	-0.28	-0.11	-0.22	-0.14	0.22	0.07	0.51	-0.11	-0.59	-0.21	-0.22	-0.16	0.55	-0.12	0.24	-0.43	0.31	-0.45	0.36	0	1.65	-0.16	-0.37	-0.35	-0.66	0.22	0.46	0.34	0.08	-0.44	0.08	0.08	-0.07	0.34	-0.66	0.08	-0.24	0.46	-0.07	0.08	-0.07	0.65	0.03	0.61	-0.06	0.04	0.18	0.24	-0.28	-0.45	-0.21	0.14	-0.32	-0.49	-0.08
1731	YER098W	-0.38	0.09	0.17	0.13	-0.11	-0.05	-0.33	0.07	0.02	-0.19	0.32	0.17	0.05	-0.05	0.07	0.27	-0.22	-0.03	0.05	0.26	0.15	-0.22	-0.5	-0.16	-0.05	-0.13	0.05	0.08	0.08	-0.09	0.12	0.26	-0.22	-0.23	-0.22	-0.46	0.54	0.54	-0.04	0.13	0.08	-0.02	0.62	0.47	0.54	0.64	0.37	-0.04	-0.13	-0.03	-0.34	-0.32	-0.46	-0.16	-0.03	-0.06	-0.62	-0.23	-0.19	0.81	0.03	0.16	0.12	-0.05	0.13	0.06	-0.19	-0.42	-0.38	0.07	-0.19	-0.13	-0.03
1732	YER099C	0.18	0.13	-0.23	-0.31	-0.01	-0.44	-0.05	-0.27	0.16	0	0.6	-0.12	0.42	-0.08	0.42	-0.067	-0.18	-0.21	0.6	0.36	0.27	0.41	-0.3	0.14	-0.26	0.28	-0.75	0.39	-0.21	0.12	-0.61	0.05	-0.02	0.35	-0.23	0.39	-0.63	-0.77	-0.13	0.27	0.14	0.14	-0.2	0.44	-0.11	0.08	0	-0.22	0	0.4	0.01	0	-0.06	-0.01	-0.33	0.03125	0.12	0.18	-0.3	-0.03	-0.31	-0.27	-0.04	0.03	-0.15	-0.21	0.18	0.14	0.24	0.01	-0.06	0.06	0.42
1733	YER100W	0.1	-0.05	-0.11	-0.14	0.06	0.15	0.25	0.11	0.06	0.02	-0.09	-0.08	0.12	-0.26	-0.06	-0.15	0.2	-0.12	0.09	0.17	0.25	0.28	0.27	0.16	-0.46	0.07	-0.58	0.24	-0.29	0.07	-0.56	0.16	-0.84	0.32	-0.09	0.17	-0.22	-0.05	-0.36	0.49	0.32	0.39	0.18	0.09	-0.03	0.37	0.24	0.1	0.09	0.19	-0.23	-0.12	-0.21	-0.26	-0.1	-0.097142857	-0.34	0.01	0.02	0.68	0.12	-0.12	0.08	0.04	-0.34	-0.04	-0.02	-0.11	-0.11	0.12	-0.14	0.02	-0.18
1734	YER101C	0.11	0.13	0.04	-0.07	0.07	0.01	0.11	0.08	0.085	0.04	-0.14	-0.04	0.02	-0.15	-0.09	-0.1	-0.04	-0.09	0.15	0.14	0.22	0.14	0.05	0.22	0.09	0.15	-0.23	0.05	-0.32	-0.06	-0.67	0.01	0.03	-0.06	-0.52	0.09	-0.29	-0.38	0.21	0.41	0.27	0.34	0.45	0.52	0.09	0.23	-0.11	-0.55	-0.55	0.07	0.09	0.14	-0.09	0.02	-0.06	-0.14	0.33	-0.03	-0.38	0.61	-0.13	-0.01	-0.02	0.05	-0.13	-0.31	0.05	-0.04	-0.09	0.08	-0.13	-0.17	0.24
1735	YER102W	0.21	-0.16	-0.16	-0.14	-0.18	-0.27	-0.02	0	0.15	-0.03	0.09	-0.13	0.07	-0.1	0.35	0.12	0.25	-0.04	-0.61	-0.21	0.17	0.15	0.55	0.34	-0.35	0.28	0.24	0.18	0.18	0.18	-0.15	0.2	-0.99	-0.06	-0.03	0.15	0.04	0.21	-0.49	-0.03	0.05	0.01	0.02	0.11	0.64	0.37	0.39	-0.39	0.06	0.1	-0.22	1.08	-2.81	0.17	0.03	0.08	0.36	0.53	0.56	-0.78	-0.45	-0.1	0.79	0.63	0.2	0.39	0.26	0.14	-0.06	-0.07	-0.21	-0.41	-0.32
1736	YER103W	0.19	-0.14	0.11	0.31	0.37	0.21	0.38	-0.03	0.11	0	-0.2	-0.14	-0.22	-0.29	-0.2	-0.101	-0.25	-0.2	0.08	-0.63	-1.06	-0.25	-0.86	-0.25	-0.8	-0.52	-0.74	-0.43	-0.92	-0.68	-0.86	-0.38	-0.25	0.77	-0.47	1.13	0.83	0.57	1.33	1.55	1.35	1.5	2.1	0.82	0.54	0.72	-0.21	-0.57	-0.57	-0.05	-0.51	-0.35	-0.21	-0.59	-0.19	-0.41	0.09	-0.45	-0.15	1.01	0.05	0.22	0.27	-0.23	-0.66	-0.85	-0.25	0.1	-0.06	-0.28	-0.07	0.4	0.36
1737	YER104W	-0.2	-0.22	0.1	0.04	0.08	0	0.17	0.14	-0.01	-0.08	-0.22	0.17	0.18	-0.15	0	-0.15	0.18	-0.04	-0.15	0.13	0.11	0.23	0.29	0.11	-0.47	-0.05	0.11	0.06	-0.31	0.19	-0.25	0.13	0.12	0.15	0.11	0.19	0.22	-0.31	-0.08	-0.35	0.06	-0.23	-0.006	-0.15	0.67	-0.45	0.13	-0.42	0.066	-0.25	-0.2	-0.2	0.32	0.34	0.55	0.34	-0.15	-0.2	-0.33	-0.07	-0.04	-0.11	0.25	0.41	-0.16	0.2	-0.02	-0.23	-0.46	0.13	-0.13	0.21	0.02
1738	YER105C	-0.27	-0.57	-0.16	-0.18	0.06	0.34	-0.05	0	0.09	-0.12	0.25	-0.02	-0.14	-0.09	0.54	0.25	0.16	-0.09	0.22	0.14	-0.04	0.05	0.43	0.21	-0.01	0.37	0.14	0.15	-0.04	-0.08	-0.28	0.07	0.05	-0.08	-0.24	-0.11	0.08	-0.57	0.13	-0.13	-0.24	-0.22	-0.43	0.33	0	-0.64	0.23	0.11	-0.65	0.07	0.13	0.02	0.04	0.25	0.4	0.106666667	-0.06	0.25	-0.07	-0.22	-0.18	-0.2	0.33	-0.09	-0.31	-0.2	-0.16	0.28	0.26	-0.09	0.37	0.06	0.15
1739	YER106W	0.13	-0.001111111	0.1	0.08	0.18	0.02	0.18	0.3	0.09	-0.08	-0.36	0.12	0.12	0.07	-0.47	-0.32	-0.01	-0.06	-0.02	0.03	-0.21	-0.28	0.35	-0.1	0.41	-0.32	0.19	0.1	0.22	-0.47	-0.16	0.14	0.48	-0.26	0.58	-0.43	0.16	-0.13	0.83	-0.43	-0.28	-0.39	1.22	1.48	0.63	-0.69	1.12	-0.1	-0.1	0.12	0.63	-1.69	-2.69	-0.37	-0.37	0.12	-0.216666667	0.77	-0.1	0.6	0.16	0.071	0.14	0.4	-0.21	0.01	-0.21	-0.17	-0.65	0.35	-0.21	-0.1	-0.1
1740	YER107C	-0.02	0.49	0.01	0.14	-0.38	0.1	0.03	-0.11	-0.01	-0.16	0.09	-0.26	0.38	-0.38	-0.01	0.12	0.1	-0.13	0.46	0.47	0.36	-0.68	-0.03	0.33	-0.01	0.33	-0.16	0.46	-0.24	0.16	-0.58	0.1	-0.13	0.16	-0.79	0.32	-0.3	-0.65	-0.28	0.35	0.05	0.3	-0.6	0.31	-0.01	-0.46	0.14	0.02	0.08	0.16	-0.03	0.09	-0.18	-0.07	0.12	0.03	0.148333333	0.28	0.11	-0.24	-0.31	-0.1	-0.52	0.12	0.33	-0.28	0.26	0.06	0.14	0.23	0.03	0.28	0.01
1741	YER108C	-0.46	-0.24	-0.04	-0.03	-0.04	-0.13	0.3	0.28	-0.03	-0.03	-0.09	0.05	0.13	0.19	-0.09	0.05	0.11	0.05	-0.02	0.16	0.51	0.15	0.46	0.16	-0.24	-0.24	-0.31	0.07	-0.12	-0.26	-0.19	0.33	-0.08	0.01	0	0.02	-0.11	-0.02	0.18	-0.08	-0.2	-0.19	-0.7	0.07	0.34	0.05	0.36	0.33	-0.01	0.2	0.1	-0.62	-0.25	-0.03	0.36	0.07	-0.17	0.02	-0.12	0	-0.14	-0.29	0.19	0.35	0.06	0.31	0.15	-0.06	-0.43	0.24	-0.01	-0.31	-0.06
1742	YER109C	-0.22	0.02	-0.25	0.29	-0.03	0.38	-0.03	0.1	-0.16	-0.08	-0.22	0.07	-0.13	0.11	-0.27	0.11	0.21	0.07	0.42	0.49	0.43	0.42	0.1	0.24	-0.22	0.17	-0.48	0.29	-0.09	0.13	-0.66	0.22	0	0.36	-0.42	0.15	-0.29	-0.76	-0.4	0.04	-0.09	-0.06	0.04	0.59	0.51	0.04	0.43	0.15	0.04	-0.01	0.25	-1.66	-0.2	-0.14	0.34	0.43	-0.57	-0.34	0.1	0.36	-0.01	-0.03	-0.1	0.26	0.28	-0.17	-0.15	0.04	-0.2	0.06	-0.15	-0.15	-0.03
1743	YER110C	0.07	-0.66	-0.39	-0.56	-0.15	-0.25	0.19	0.09	0.44	0.28	0.12	0.19	0.05	-0.01	0.29	0.1	0.23	-0.03	0.21	0.18	0.24	0.46	0.86	0.47	0.19	0.43	0.62	-0.13	-0.06	-0.38	-0.3	-0.23	-0.55	-0.11	0.42	0.05	0.83	-0.69	-0.08	-0.78	-0.69	-0.94	-0.56	0.21	0.38	0.41	0.29	-0.02	0.44	0.44	0.08	-0.3	-0.35	-0.45	0.02	-0.29	-0.01	0.07	-0.38	-1.92	-0.49	-0.34	0.31	0.47	0.77	0.52	0.23	0.18	0.77	0.13	0.11	-0.79	0.04
1744	YER111C	-1.21	-0.26	1.36	1.37	0.54	0.18	-0.85	-0.82	-0.75	0.07	0.89	0.78	0.37	-0.19	-0.11	-0.54	-0.34	-0.47	0.25	0.45	0.16	0.08	-0.42	0.03	0.01	0.01	-0.04	0.59	0.13	0.22	-0.24	0.17	-0.49	-0.14	-0.59	-0.04	-0.47	-0.49	0.01	0.3	0.3	0.24	-0.21	0.19	0.86	0.04	-0.35	-0.39	-0.51	-0.2	0	0.92	0.77	0.41	0.14	-0.45	-1.23	-0.079	-0.191	-0.7	0.04	0.02	0.3	0.32	0.04	-0.08	0.08	-0.08	-0.15	-0.08	0.1	0.1	0.1
1745	YER112W	-0.22	0.17	-0.08	0.12	-0.1	0.14	-0.32	0.11	0.11	-0.27	0.11	0.17	0.18	-0.16	-0.07	0.11	0.04	-0.04	0.2	0.31	0.19	-0.07	-0.02	-0.18	-0.22	-0.05	-0.34	0.2	-0.09	0.29	-0.15	0.44	-0.8	-0.13	-0.61	-0.1	0.02	0.67	-0.38	0.37	0.01	0.48	-0.41	0.04	-0.08	0.09	0.06	-0.27	-0.13	0.04	-0.16	0.38	-0.07	-0.2	-0.11	0.113333333	-0.04	0.42	0.43	0.45	0.04	0.11	0.19	0.35	0.27	0.13	-0.22	-0.43	-0.35	0.25	-0.37	-0.28	-0.14
1746	YER113C	-0.48	0.16	0.02	0.36	-0.31	0.51	-0.41	-0.03	-0.02	0.18	-0.05	0.06	0.05	-0.06	-0.13	0.16	-0.01	0.02	-0.18	-0.07	-0.13	1.32	0.52	-0.72	0.61	-0.15	0.39	-0.21	0.35	-0.31	-0.09	-0.03	0.45	-0.63	-0.22	-0.38	0.59	0.56	0.53	-1.04	-0.57	-0.63	-0.53	0.22	0.29	-0.1	0.11	-0.35	0.08	0.52	0.16	-0.21	0.1	0.15	0.1	-0.35	-0.18	-0.173333333	-0.054444444	-0.23	0.06	-0.12	0.19	0.21	0.33	0.19	-0.16	-0.2	-0.03	0.08	-0.12	-0.26	0.07
1747	YER114C	-0.54	-0.19	-0.8	-0.23	-0.05	0.15	-0.13	0.13	0.41	-0.08	0.15	-0.03	0	0.22	0.36	0.58	-0.11	0.15	-0.1	0.02	-0.12	0.11	0.79	-0.5	0.4	-0.34	0.02	-0.24	0.1	0.64	0.34	0.51	-0.19	-0.46	0.36	-0.3	0.4	0.35	0.29	-0.69	-0.69	-0.69	-0.33	-0.21	-0.55	0.16	0.48	0.43	0.41	0.54	0.08	-0.48	-0.35	-0.46	0.43	-0.04	-0.11	-0.071111111	-0.097777778	-0.24	-0.02	0.01	0.16	-0.08	0.09	0.03	0.01	0.14	0.01	-0.18	0.04	0.13	-0.08
1748	YER115C	-0.32	0.19	-0.3	-0.01	-0.35	0.33	-0.23	0.25	0.14	0.24	-0.25	-0.1	0.08	-0.05	-0.08	0.33	-0.016	0.12	-0.52	-0.1	-0.02	-0.04	0.51	-0.56	0.75	-0.18	0.3	-1.76	0.56	-0.01	0.23	0.74	0.44	-0.48	-0.05	-0.18	0.44	0.42	0.73	-0.71	-0.11	-0.42	0.51	0.52	0.22	0.01	0.11	-0.31	0.03	0.19	-0.09	-0.22	-0.25	-0.5	-0.3	-0.187777778	0.23	-0.05	-0.11	0.52	0.08	0.57	0.09	0.07	0.1	0.07	-0.22	-0.31	-0.33	0.1	-0.35	-0.37	-0.03
1749	YER116C	-0.22	0.19	-0.04	-0.14	0.02	0.05	-0.11	0.21	0.46	-0.08	0.01	-0.09	-0.05	-0.12	-0.06	0.11	-0.2	0.06	-0.08	0.12	-0.17	0.13	0.53	-0.06	0.1	-0.04	0.13	-2.75	0.01	0.22	0.46	0.48	0.41	-0.34	-0.08	-0.62	0.59	0.63	0.75	-0.26	-0.22	0.07	0.62	0.46	0.09	0.22	0.32	0.03	0.46	0.58	0	-0.78	-0.18	-0.39	-0.03	-0.39	-0.31	-0.44	-0.25	0.42	0.07	0.48	0.36	0.12	-0.07	0.02	-0.04	-0.38	-0.53	-0.1	-0.22	-0.13	0
1750	YER117W	-0.26	0.02	-0.28	-0.02	-0.44	0.1	-0.38	0.17	0.11	0.31	0.15	-0.12	0.09	-0.01	0.12	0.15	0.12	0.15	-0.59	-0.17	-0.07	-0.07	0.56	-0.39	0.5	-0.02	0.36	-0.39	0.3	-0.04	0.15	0.46	0.62	-0.52	-0.08	-0.1	0.31	0.52	0.3	-0.7	-0.52	-0.41	-0.28	-0.18	0.27	0.03	0.13	-0.64	-0.53	-0.29	-0.51	1.12	0.26	0.19	-0.25	-0.09	0.17	0.39	0.21	-1.11	-0.06	-0.1	0.17	0.5	0.4	0.33	0.3	0	-0.02	0.32	-0.31	-0.44	0.01
1751	YER118C	-0.42	-0.3	-0.13	0.6	0.27	0.41	-0.17	0.03	-0.05	-0.75	-0.1	0.2	0.38	0.23	0.24	0.12	-0.23	-0.33	0.07	0.11	0.54	0.31	0.75	-0.22	0.14	-0.41	-0.75	-0.12	0.49	0.59	0.67	0.46	-0.2	-0.26	-0.43	-0.31	-0.1	-0.24	-0.15	-0.35	-0.26	-0.3	-0.99	-0.25	0.43	0.5	0.26	0.05	-0.34	-0.16	-0.39	-0.46	0.13	0.59	0.81	0.102222222	-0.11	0.07	-0.14	-1.01	-0.34	-0.01	0.14	0.41	0.44	0.59	0.17	-0.23	0.22	0.45	-0.27	-0.38	-0.18
1752	YER119C	-0.47	0.33	0.12	0.12	-0.15	0.47	-0.11	-0.07	0.13	0.23	-0.13	-0.13	-0.03	-0.2	-0.07	0.1	-0.05	-0.09	-0.67	-0.87	-0.56	-0.02	0.45	-0.42	0.12	-0.45	0.19	-0.37	0.17	0.05	0.43	0.26	1.04	-0.34	0.06	-0.1	0.78	0.14	0.73	-0.38	-0.14	-0.09	0.79	0.13	-0.34	-0.56	0.37	0.07	-0.76	-0.21	-0.32	-0.14	-0.34	0.24	0.27	0.32	-0.05	0.36	0.15	0.1	0.3	-0.05	-0.45	-0.51	-0.29	0	0.14	0.12	-0.17	0.01	0.29	0.14	0.37
1753	YER119C-A	0.003592804	-0.049941155	0.024934907	-0.00623694	0.028968491	0.009277758	0.077357486	0.002213244	0.052710812	-0.002511709	0.020301926	-0.013739823	0.046342137	-0.1591458	-0.017195334	0.002202216	-0.003950768	-0.022870906	-0.17	-0.17	-0.03	0.57	0.46	-0.09	0.32	-0.07	-0.12	-0.86	0.01	0.22	0.21	0.15	0.17	-0.25	-0.19	-0.14	0.38	-0.67	0.44	-0.23	-0.05	0.12	0.003903967	-0.44	-0.52	-0.014517295	-0.17	-0.3	-0.026037312	-0.52	0.65	-0.93	-0.26	0.93	0.09	0.46	0.72	0.31	-0.02	0.01489011	-0.10198999	-0.052958478	0.00140031	0.038945567	-0.010811878	-0.004739458	0.057063669	0.036956671	0.017041988	0.007730156	0.025936911	-0.067776243	0.036715829
1754	YER120W	-0.15	-0.2	-0.42	-0.09	-0.29	0.1	0	0.4	0.29	-0.35	0.11	-0.03	0	-0.06	0.24	0.31	0.11	0.04	-0.19	-0.31	-0.1	0.52	0.62	0.39	0.15	0.02	-0.57	-0.19	-0.25	0.08	-0.02	0.13	-0.44	0.36	-0.25	0.38	0.31	-0.15	-0.31	-0.02	-0.15	-0.01	-0.47	-0.34	-0.07	0.38	0.34	0.16	0.24	0.23	-0.37	0.23	-0.47	-0.12	0.12	0.1025	-0.24	0.25	0.11	0.1	-0.82	0.12	0.09	-0.06	0.08	0.36	0.11	0.16	-0.1	-0.02	0.08	-0.1	-0.02
1755	YER121W	-0.32	0.27	0.17	-0.07	-0.36	0.34	-0.2	0.13	0.13	0	-0.45	0.07	0.14	0.43	-0.52	0.05	0.07	0.11	-0.36	0.09	-0.47	-0.49	0.55	-0.55	0.79	-0.51	0.45	-0.83	0.59	-0.143333333	-0.06	-0.093333333	0.81	-0.34	0.308888889	-0.49	0.71	0.78	1.19	-0.62	-0.65	-0.58	1.43	0.6	0.23	0.27	0.05	-0.44	-0.4	-0.22	-0.36	-0.3	-0.34	-0.1	-0.09	0.02	-0.54	0.06	0.13	0.7	0.32	0.18	-0.41	-0.07	-0.03	0.15	-0.2	-0.2	-0.43	0.18	-0.18	0.03	-0.01
