UNIQID	NAME	miR-133a	miR-1	miR-92a	miR-21	miR-126
u409	PP12708	0.277043	0.000000	0.000000	0.000000	-0.000000
u410	PPIP5K1	0.000000	0.389970	0.000000	0.000000	0.000000
u411	PPM1K	0.000000	0.157856	0.000000	0.889237	0.000000
u412	PPP1R21	0.000000	0.221808	0.170921	0.371666	0.000000
u413	PRICKLE2	0.000000	0.000000	0.000000	0.812584	0.000000
u414	PRKAR2B	0.000000	0.000000	1.120894	0.000000	0.116130
u415	PRKG1	0.000000	0.000000	0.000000	1.052639	0.001549
u416	PRMT2	0.000000	0.000000	0.319247	0.487026	0.116136
u417	PRO2012	0.155920	0.220825	0.000000	0.183116	0.000000
u418	PRRC2C	0.228156	0.289367	0.000000	0.000000	0.000000
u419	PTGFRN	0.000000	0.000000	1.146503	0.032808	0.040518
u420	PTN	0.000000	0.251925	0.000000	1.130080	0.000000
u421	PTPRZ1	0.542832	0.000000	0.000000	0.000000	0.000000
u422	QKI	0.000000	0.350438	0.000000	0.113274	0.000000
u423	R3HDML	0.000000	0.000000	0.460556	0.326617	0.069125
u424	RAB23	0.000000	0.000000	1.026392	0.000000	0.284993
u425	RAB33A	0.000000	0.063592	0.230874	0.313206	0.000000
u426	RABGAP1L	-2.425824	9.836205	-3.006606	-2.795674	0.000000
u427	RAD54L2	0.000000	0.345819	0.054022	0.180521	0.000000
u428	RALGPS2	0.000000	0.155831	0.052329	0.259040	0.000000
u429	RAPGEF6	0.286605	0.000000	0.000000	0.000000	-0.000000
u430	RARB	0.000000	0.411910	0.088522	0.025875	0.000000
u431	RASAL2	0.000000	0.000000	1.065340	0.000000	0.189001
u432	RBM39	0.000000	0.813216	0.000000	0.000000	0.189932
u433	REC8	0.000000	0.107711	0.191487	0.190773	0.000000
u434	RECQL5	0.192459	0.000000	0.099307	0.000000	0.000000
u435	REPS2	0.390360	0.000000	0.000000	0.000000	0.000000
u436	RGS11	0.000000	0.034910	0.230301	0.506690	0.000000
u437	RGS14	0.000000	0.000000	0.273634	0.465347	0.000000
u438	RGS20	0.253320	0.000000	0.000000	0.000000	-0.000000
u439	RGS22	0.309840	0.022495	0.000000	0.000000	0.000000
u440	RGS4	0.105804	0.131802	0.434105	0.106572	0.000000
u441	RIMS2	0.000000	0.193451	0.000000	0.268065	0.000000
u442	RNF103	0.000000	0.001223	0.120605	0.593159	0.000000
u443	RNF157	0.000000	0.000000	0.428430	0.340724	0.000000
u444	RNF165	0.000000	0.126483	0.477793	0.000000	0.000000
u445	RNF212	0.058831	0.315012	0.001508	0.000000	0.000000
u446	RNF34	0.000000	0.188573	0.170274	0.280739	0.000000
u447	ROCK2	0.000000	0.065396	0.143062	0.534702	0.202320
u448	RPS21	0.000000	0.220460	0.000000	0.254957	0.000000
u449	RQCD1	0.000000	0.026224	0.231563	0.499792	0.000000
u450	RRP12	0.248173	0.000000	0.000000	0.000000	0.000000
u451	RTF1	0.235109	0.034118	0.000000	0.000000	0.000000
u452	S100B	0.330503	0.000000	0.083968	0.198690	0.000000
u453	S1PR3	0.000000	0.000000	0.190621	0.862258	0.000000
u454	SACS	0.000000	0.108525	0.162967	0.629983	0.000000
u455	SAG	0.000000	0.000000	0.305268	0.381100	0.136717
u456	SAMD12-AS1	0.000000	0.239931	0.016969	0.000000	0.000000
u457	SAP25	0.000000	0.000000	0.332114	0.000000	0.000000
u458	SCARA5	0.000000	0.140846	0.049340	0.970886	0.000000
u459	SCUBE2	0.000000	0.278459	0.308389	0.309214	0.000000
u460	SCUBE3	0.000000	0.000000	1.103640	0.000000	0.000000
u461	SDR9C7	0.000000	0.355132	0.000000	0.000000	0.000000
u462	SEPT3	0.189589	0.000000	0.000000	0.000000	0.000000
u463	SERP2	0.142381	0.061402	0.054911	0.000000	0.000000
u464	SF3B3	0.000000	0.337600	0.219753	0.024899	0.000000
u465	SFT2D1	0.000000	0.092203	0.000000	0.333128	0.000000
u466	SFTPA1	0.000000	0.071887	0.282408	0.094770	0.000000
u467	SGCD	0.209386	0.008934	0.000000	0.116340	0.878416
u468	SHISA5	0.527980	0.003198	0.000000	0.051132	0.000000
u469	SHROOM1	0.000000	0.075617	0.265815	0.358206	0.004248
u470	SIPA1L3	0.000000	0.316458	0.086715	0.000000	0.000000
u471	SKIL	0.000000	0.000000	0.260120	0.634931	0.059579
u472	SLAIN1	0.000000	0.114709	0.016469	0.339090	0.000000
u473	SLC18A3	0.000000	0.000000	0.002147	0.000000	1.503021
u474	SLC1A3	0.000000	0.000000	0.547105	0.347762	0.051198
u475	SLC22A1	0.000000	0.086889	0.339206	0.320605	0.000000
u476	SLC22A18	0.000000	0.000000	0.001887	0.000000	1.486790
u477	SLC25A16	0.000000	0.064347	0.052637	0.871573	0.418496
u478	SLC25A53	0.000000	0.120530	0.280240	0.372421	0.000000
u479	SLC26A7	0.394494	0.000000	0.000000	0.000000	0.000000
u480	SLC2A8	0.192399	0.100781	0.000000	0.000000	-0.000000
u481	SLC2A9	0.000000	0.147919	0.103546	0.402009	0.000000
u482	SLC32A1	0.000000	0.000000	0.420201	0.365060	0.000000
u483	SLC38A2	0.190073	0.136741	0.000000	0.301102	0.000000
u484	SLC38A6	0.000000	0.042510	0.000000	1.014721	0.178325
u485	SLC38A8	0.133538	0.230770	0.000000	0.000000	0.000000
u486	SLC5A7	0.044817	0.094745	0.128493	0.257325	0.000000
u487	SLC7A7	0.157242	0.097804	0.106575	0.107349	0.000000
u488	SLC8B1	0.000000	0.022482	0.258689	0.563981	0.000000
u489	SLC9A4	0.000000	0.000000	0.017139	0.000000	1.483451
u490	SLC9A9	0.362895	0.065122	0.000000	0.070452	0.000000
u491	SLC9B1	0.209233	0.000000	0.000000	0.000000	-0.000000
u492	SLMAP	0.000000	0.000000	0.000000	0.706082	0.000000
u493	SMOC2	0.000000	0.126606	0.000000	1.043907	0.000000
u494	SNTB1	0.000000	0.317760	0.259038	0.248922	0.000000
u495	SNX29	0.000000	0.095826	0.336328	0.301771	0.000000
u496	SORBS2	0.000000	0.010019	0.796009	0.068955	0.000000
u497	SOS1	0.000000	0.000000	0.205874	0.684351	0.147312
u498	SOX13	0.000000	0.077822	0.358855	0.083914	0.000000
u499	SOX5	0.000000	0.204089	0.275214	0.085681	0.000000
u500	SPAG11B	0.268404	0.015348	0.000000	0.000000	-0.000000
u501	SPOP	0.281163	0.048216	0.083850	0.131462	0.000000
u502	SPRR2D	0.000000	0.066136	0.296897	0.271452	0.055897
u503	SPTBN1	0.000000	0.004589	0.000969	0.000000	1.475137
u504	SPTY2D1	0.336488	0.073934	0.051077	0.000000	0.000000
u505	SRPK2	0.000000	0.000000	0.000000	0.920699	0.000000
u506	SRRT	0.225324	0.006262	0.000000	0.000000	0.000000
u507	SSUH2	0.000000	0.084617	0.229028	0.433231	0.157699
u508	STAG2	0.051292	0.104441	0.000000	0.445979	0.000000
u509	STARD10	0.381329	0.000000	0.000000	0.000000	-0.000000
u510	STARD13	0.000000	0.452284	0.000000	0.050267	0.000000
u511	STATH	0.000000	0.272016	0.000000	0.000000	-0.000000
u512	STAU2	0.000000	0.000000	0.360972	0.527532	0.037079
u513	STC2	0.000000	0.173443	0.071455	0.000000	0.000000
u514	STK36	0.219352	0.000000	0.127257	0.000000	0.000000
u515	STK38L	0.148230	0.356569	0.000000	0.000000	0.000000
u516	STXBP5	0.000000	0.006328	0.021316	0.652886	0.000000
u517	SUSD5	0.000000	0.100244	0.224128	0.359540	0.000000
u518	SVIL	0.000000	0.179260	0.146652	0.394520	0.000000
u519	SYNGR1	0.149996	0.042609	0.062097	0.182221	0.000000
u520	SYNPO2	0.000000	0.296479	0.000000	0.167214	0.000000
u521	SYT17	0.077451	0.480569	0.000000	0.000000	0.000000
u522	TAB3	0.000000	0.000000	0.330236	0.357410	0.000000
u523	TAF5L	0.000000	0.000000	0.340790	0.399409	0.000000
u524	TAS2R10	0.474160	0.000000	0.000000	0.000000	-0.000000
u525	TAS2R19	0.154322	0.425768	0.069500	0.013768	0.000000
u526	TAS2R8	0.294176	0.000000	0.000000	0.000000	0.000000
u527	TBC1D8B	0.360977	0.000000	0.000000	0.000000	-0.000000
u528	TBK1	0.360941	0.137166	0.016999	0.000000	0.000000
u529	TBRG1	0.100230	0.078380	0.021513	0.189441	0.000000
u530	TCEANC	0.000000	0.129680	0.272231	0.314909	0.000000
u531	TCF7	0.146248	0.264201	0.002343	0.372879	0.000000
u532	TCF7L2	0.150890	0.095486	0.000000	0.000000	0.000000
u533	TCOF1	0.000000	0.000000	1.069911	0.000000	0.308348
u534	TEC	0.184551	0.078067	0.000000	0.000000	0.000000
u535	TENM3	0.128511	0.121344	0.190327	0.099029	0.000000
u536	TEX101	0.000000	0.309618	0.038146	0.249790	0.000000
u537	TGFB3	0.000000	0.091938	0.095415	0.662793	0.000000
u538	THBS1	0.000000	0.582694	0.000000	0.157090	0.723215
u539	THBS2	0.612813	0.055490	0.000000	0.000000	0.000000
u540	THEG	0.266211	0.136618	0.000000	0.637822	0.000000
u541	TIAM1	0.153640	0.189331	0.070242	0.093747	0.000000
u542	TIAM2	0.000000	0.151021	0.237006	0.322500	0.000000
u543	TM4SF20	0.000000	0.211085	0.000000	0.000000	0.000000
u544	TMBIM6	0.133531	0.170450	0.093663	0.000000	0.000000
u545	TMC4	0.170080	0.101162	0.000000	0.161956	0.000000
u546	TMEM106B	0.000000	0.162037	0.018321	0.000000	0.000000
u547	TMEM14E	0.000000	0.269328	0.122316	0.000000	-0.000000
u548	TMEM229B	0.000000	0.018143	0.000150	1.000842	0.056427
u549	TMEM95	0.000000	0.000000	0.000000	0.897730	0.492799
u550	TMOD2	0.000000	0.816413	0.017105	0.000000	0.000000
u551	TMPRSS4	0.000000	0.219748	0.113837	0.304334	0.000000
u552	TNFRSF19	0.000000	0.121601	0.357436	0.433836	0.000000
u553	TNFSF11	0.000000	0.287963	0.000000	0.000000	0.000000
u554	TNRC6A	0.000000	0.000000	0.275621	0.483119	0.087652
u555	TRAF5	0.000000	0.183335	0.101684	0.342182	0.000000
u556	TRIM50	0.000000	0.338355	0.096634	0.116166	0.000000
u557	TRMT44	0.000000	0.000000	0.000000	0.927652	0.393945
u558	TRPC6	0.000000	0.018784	0.254570	0.492530	0.113719
u559	TRPV3	0.000000	0.032673	0.386951	0.299992	0.000000
u560	TSPAN11	0.000000	0.000000	0.495444	0.167386	0.000000
u561	TSPO	0.000000	0.000000	0.000000	0.629576	0.000000
u562	TTC26	0.000000	0.185787	0.000000	0.279761	0.000000
u563	TTC3	0.000000	0.000000	0.000000	0.905235	0.463961
u564	TTC9	0.000000	0.389170	0.083169	0.000000	0.000000
u565	TTLL7	0.351531	0.175943	0.033220	0.049670	0.000000
u566	TUBB2A	0.000000	0.010616	0.605863	0.306586	0.000000
u567	TULP4	0.026839	0.264185	0.000000	0.255594	0.000000
u568	TWSG1	0.271838	0.016143	0.000000	0.000000	0.000000
u569	TYW1	0.000000	0.000000	0.278396	0.399044	0.148322
u570	UBE2B	0.367736	0.000000	0.000000	0.000000	0.000000
u571	UCHL1	0.000000	0.244210	0.074907	0.000000	-0.000000
u572	UGGT2	0.028723	0.149352	0.000000	0.527752	0.000000
u573	ULBP3	0.000000	0.513684	0.000000	0.000000	-0.000000
u574	UNC13D	0.000000	0.936046	0.004517	0.000000	0.000000
u575	UNC80	0.000000	0.102831	0.094202	0.897453	0.000000
u576	USB1	0.000000	0.073037	0.157630	0.400556	0.060767
u577	USP6NL	0.000000	0.256772	0.000000	0.266278	0.000000
u578	VCP	0.224667	0.028034	0.100788	0.135288	0.000000
u579	VIPR1	0.007507	0.123556	0.601305	0.111096	0.000000
u580	VPS13B	0.357729	0.000000	0.000000	0.000000	0.000000
u581	VWA1	0.000000	0.269914	0.000000	0.000000	0.000000
u582	WBP11	0.000000	0.012319	0.352769	0.196319	0.000000
u583	WDR78	0.043693	0.181447	0.078850	0.000000	0.000000
u584	WDR86	0.092675	0.173930	0.113778	0.114172	0.000000
u585	WHAMMP3	0.000000	0.318134	0.000000	0.250751	0.000000
u586	WTH3DI	0.000000	0.253023	0.000000	0.000000	-0.000000
u587	XKR4	0.009870	0.118723	0.351171	0.214584	0.000000
u588	XRCC3	0.000000	0.000000	0.000000	0.000000	1.545769
u589	ZC2HC1B	0.000000	0.043114	0.404744	0.324260	0.038449
u590	ZCCHC14	0.000000	0.005552	0.424984	0.468402	0.000000
u591	ZCCHC6	0.452368	0.023974	0.000000	0.000000	0.000000
u592	ZDBF2	0.000000	0.152454	0.212935	0.452075	0.000000
u593	ZKSCAN2	0.000000	0.024442	0.325168	0.405210	0.000000
u594	ZMAT3	0.000000	0.817611	0.000000	0.029152	0.000000
u595	ZNF107	0.000000	0.292713	0.000000	0.000000	-0.000000
u596	ZNF182	0.000000	0.114491	0.154326	0.306850	0.062835
u597	ZNF226	0.000000	0.096062	0.076737	0.381897	0.000000
u598	ZNF248	0.000000	0.000000	0.222412	0.644829	0.080902
u599	ZNF34	0.000000	0.141123	0.247209	0.280465	0.000000
u600	ZNF407	0.087358	0.283181	0.000000	0.000000	0.000000
u601	ZNF507	0.000000	0.188517	0.000000	0.000000	0.000000
u602	ZNF518A	0.222155	0.079686	0.000000	0.000000	-0.000000
u603	ZNF519	0.000000	0.184243	0.182811	0.524661	0.000000
u604	ZNF521	0.000000	0.219354	0.315049	0.128123	0.000000
u605	ZNF621	0.000000	0.254497	0.000000	0.000000	0.000000
u606	ZNF814	0.154090	0.152964	0.000000	0.000000	0.000000
u607	ZSCAN30	0.000000	0.000000	0.000000	0.883928	0.218375
TF1	RELA	0.000000	0.000000	0.000000	0.593270	0.651698
TF2	STAT3	0.000000	0.000000	0.000000	0.611571	0.476839
TF3	STAT5A	0.000000	0.000000	0.000000	0.201072	0.480898
TF4	STAT5B	0.000000	0.000000	0.000000	0.047724	0.726289
TF15	HIF1A	0.000000	-0.000000	0.000000	0.000000	0.259253
