d1	GeneSymbol	Case1	Case2	Case3	control1	control2	control3
d336	FAM231A	3.1161802	3.2548525	3.7406108	4.12979	4.184563	4.209529
d337	FANK1	2.6089485	2.529749	1.7085536	2.7843947	3.1080782	3.3550165
d338	FLJ38773	4.4807854	4.191676	4.809356	5.1361823	5.2987404	5.014355
d339	FN1	2.744906	2.2196057	2.3229442	2.850803	2.8811643	3.4015338
d340	FOLH1	3.4358056	3.0293753	2.9678795	3.902678	3.3645926	4.0399747
d341	GABRA5	2.1137035	1.751478	2.2358313	2.9071658	2.7962286	2.783766
d342	GLOD5	2.981437	2.3543978	2.9601293	3.3522015	3.5078757	3.35549
d343	GLYAT	2.529229	3.0199394	2.9505734	3.1478791	3.6123505	3.6202967
d344	GP6	5.7443366	5.837259	5.9224563	6.935153	5.9874725	6.5476656
d345	GPRC6A	2.788764	2.9568152	3.3423452	3.3302948	3.7397435	3.7834773
d346	GRM5	2.0831547	1.9814298	1.9666015	2.9643726	2.4616268	2.6784754
d347	GUCY2D	1.7401886	2.162344	2.4586282	2.7427049	2.861878	3.6589358
d348	HCN3	4.1740003	3.5372634	3.7162118	4.4480577	4.657548	4.471604
d349	HLA-DRB4	8.45421	8.216007	8.72665	9.884841	9.338924	9.120552
d350	INHA	1.1565473	0.86481416	0.8234526	1.5173995	2.133832	1.6632929
d351	KCNK9	5.2235928	5.1508765	5.522426	5.8436646	6.567972	6.3156757
d352	KIR2DS4	5.2840943	5.363145	5.5780516	6.2598	5.7799253	6.0165157
d353	KLF11	6.1272135	5.3884573	5.5080314	6.2739887	6.502426	6.566864
d354	LCE3C	3.170422	2.5512288	3.06018	3.7552168	3.5569773	3.3778949
d355	LCE4A	1.7045578	2.3932734	1.713217	3.0494976	2.9855027	2.3613348
d356	LIN7B	7.010116	7.582388	7.5389047	8.001818	8.170211	7.834853
d357	LOC100130433	5.2394958	5.2673416	5.355985	5.643346	6.186121	6.193436
d358	LOC646743	3.8098485	3.0940113	2.8742714	3.7452502	4.3313074	4.1371984
d359	LPAR3	8.17668	7.8872194	7.6086373	8.167161	8.829538	8.575697
d360	LRTM1	2.549933	3.216435	2.896273	3.4916282	3.5321293	3.919703
d361	LRTOMT	6.0296907	5.6635165	6.064511	6.3806458	6.6825604	6.775705
d362	MAGEA12	4.197038	3.986652	4.0939455	4.80532	4.931894	4.8173156
d363	MAPK8IP1	4.4887667	4.6821904	4.8021917	4.9169073	5.5779815	5.35933
d364	MCHR2	1.9459264	0.9202847	1.4743601	2.1422648	2.3985622	2.2517803
d365	MEIOB	6.675356	7.0805798	6.6531005	7.3181868	7.737425	7.357504
d366	MGAT5B	3.82106	4.039353	3.668004	4.651762	4.6686378	4.0990086
d367	MSL3	2.937767	2.9514365	2.3662696	3.5192657	3.8145278	3.1334524
d368	NDUFS5	11.064112	11.799275	11.653595	12.166758	12.127279	12.238444
d369	NECAB2	2.4447896	3.0126204	2.477977	3.4209132	3.4453945	3.1824968
d370	NMRK1	1.9532819	1.3409863	0.927519	2.1515167	1.9807478	2.223956
d371	NMRK2	13.336199	14.343004	13.592304	14.751241	14.559383	14.657477
d372	NRSN1	2.8776176	3.177606	2.7809544	3.3484025	3.6630738	3.5904694
d373	NTHL1	3.1389341	3.3332872	4.0010386	4.151496	4.1554236	4.2464
d374	NUP107	0.89814335	0.8919078	0.81792873	1.5937078	1.0007055	1.8441716
d375	OBP2A	3.8261461	3.886798	3.8845978	4.3503404	4.8308115	4.3727503
d376	OR10J1	3.2998548	3.4101632	3.9218302	3.9799519	4.3358674	4.2293067
d377	OR11H6	2.1469598	1.8638754	1.8494129	2.6637158	2.283312	3.1292071
d378	OR2T5	3.1111863	2.8969135	2.9874833	3.5659988	4.348852	3.9387887
d379	OR4C45	1.3973367	1.3001437	2.091031	2.6903214	2.1051881	2.759037
d380	OR51I2	2.2740278	2.918686	2.2874727	3.4334192	3.6848843	2.9975662
d381	ORAOV1	3.0005674	2.5364633	2.1095996	3.4251285	3.3759246	3.207383
d382	OSM	4.874878	4.2756014	4.4461956	4.853611	5.369461	5.3866334
d383	OTOP3	0.9847881	0.8791108	0.84055364	2.1459365	1.3848472	1.6500759
d384	PM20D1	4.4771147	4.360183	4.704951	5.534888	4.9737883	5.000321
d385	POLR1D	9.264671	9.30092	9.10241	9.489439	9.938713	10.033706
d386	PRR23B	3.2077713	3.7554057	3.5095572	4.2012434	4.0122757	4.109422
d387	PRR27	3.2116659	3.4742124	3.202378	3.4812624	4.629857	4.209776
d388	PSG10P	6.250424	6.3216624	6.423021	6.775705	7.2779894	7.025404
d389	PXMP2	6.2751637	6.298788	5.9849176	6.4782047	6.8205624	7.114755
d390	RHPN2	3.997294	3.5989938	3.863709	4.4979453	4.197038	4.730306
d391	RLN3	1.790285	0.8048206	1.4399323	2.492978	2.4504292	1.8387104
d392	RPL13	10.538395	10.546243	10.1078615	10.97716	11.113284	11.344598
d393	RPL36	2.6924362	3.083369	2.5904975	3.7384036	3.1141284	4.098735
d394	RPS10	12.811026	12.5046835	12.657427	12.862002	13.628599	13.589973
d395	RPS3A	10.62724	10.8916025	10.3643	10.887941	11.358534	11.395198
d396	RTBDN	5.528774	5.3521833	5.662607	6.0775003	6.0128946	6.261293
d397	RTKN2	2.8335056	3.1034098	3.6468089	3.8402731	3.8052855	3.9469447
d398	RTN4RL1	3.332062	3.1553931	3.6433764	4.4165654	3.85946	3.9514072
d399	SLC15A5	0.8223523	0.9038882	0.9862437	1.8322678	1.9715986	1.3737518
d400	SLC22A11	1.1441232	2.1014102	2.0230803	2.3286433	2.7560678	2.4952395
d401	SLC24A4	3.984802	3.5795183	3.8657582	4.0712233	4.7238398	4.618536
d402	SLC9C2	1.777588	1.7151678	1.7232056	2.4180934	2.5254292	2.4854233
d403	SLCO4A1	3.8137505	3.642591	3.0723836	3.9155526	4.267238	4.3909087
d404	SMIM5	7.1805954	7.03815	6.5265007	7.776655	7.660085	8.051243
d405	SMTNL1	2.608719	2.5683722	3.04731	3.398421	3.791288	3.1698203
d406	SNRPD3	3.909823	3.7504785	3.2347207	4.4758267	4.296584	4.2608533
d407	SNRPE	1.907485	2.0936828	0.9715285	2.6976442	2.270163	2.7325969
d408	SPACA4	4.277272	4.000977	4.47306	4.5378447	5.1692557	5.194439
d409	SPAG17	2.617213	3.7317553	3.0208256	3.9662185	3.8480837	3.8967621
d410	SPANXB1	1.9152908	2.6029017	2.730141	3.3252015	2.8760643	3.049562
d411	SPIB	4.0889397	4.187339	3.41673	4.7432976	4.6250587	4.671714
d412	SRP72	1.1811507	0.9782236	1.3633499	1.3832505	1.980259	2.1294062
d413	STOX1	3.4640355	3.785722	3.4160404	4.51484	3.8751383	4.070771
d414	STRA6	3.2912412	3.3327684	3.8139682	3.7490783	4.6350894	4.741335
d415	SYT12	1.3598782	1.9259503	2.2683578	3.1359649	2.3684213	2.6593819
d416	SYT5	1.7094266	1.9060098	2.9360025	2.855821	3.223359	3.404622
d417	TBX15	1.5485321	0.9898891	0.988554	1.5982437	2.0103672	2.2058954
d418	TFE3	1.0233576	1.1951152	1.0142316	2.2296162	1.7708536	1.6339092
d419	TMEM233	4.539172	4.641127	4.5736017	4.849312	5.466754	5.38232
d420	TMEM247	2.6414845	2.427944	2.520742	3.274816	3.2786558	2.975933
d421	TPPP2	2.1729052	2.4940865	3.074536	3.1669004	3.4076447	3.1848297
d422	TRABD2B	4.6564045	4.9052243	4.888462	5.6736736	5.513261	5.3568006
d423	TRAPPC3	4.236441	4.0819283	4.1415095	4.505984	4.9544797	4.7899137
d424	TXNL1	2.105761	2.8107853	2.1538038	2.89984	3.2779233	2.7933133
d425	UAP1L1	6.1624565	6.0080767	5.676696	6.7843266	6.4373074	6.45529
d426	UCP1	1.486272	1.6294801	1.3891916	2.450541	2.3463354	2.2299414
d427	UQCRB	11.333716	12.0957775	12.065512	12.373408	12.5824175	12.431697
d428	WFDC5	3.4961438	3.866478	3.5853443	4.000145	4.592777	4.3244658
d429	WNK4	2.7162921	3.09162	3.199426	3.4418912	3.6158948	3.7100425
d430	XDH	1.3003597	1.5081245	1.0069319	1.7609994	2.9239447	1.9450833
d431	ZAP70	5.1040106	4.888462	4.7781734	5.6897507	5.473872	5.614017
d432	ZIC5	4.2280455	4.577778	4.895147	5.0586686	5.3128824	5.3427854
d433	ZNF169	3.303935	2.68781	3.159133	3.3922842	4.2426195	3.8046718
d434	ZNF71	2.8172774	2.861415	2.468935	3.136484	3.7430816	3.3666863
d435	AATF	2.4973032	1.0540737	2.0976021	3.0689821	3.3794181	2.7480042
d436	ACSBG1	1.4131267	1.2020535	1.8621373	2.6047065	2.926921	3.318525
d437	ACTR6	1.1112262	0.9890363	1.0385984	2.1160786	1.8648278	2.4191473
d438	ADD2	1.8558328	2.5174267	1.0913877	2.7303536	3.3528876	2.691241
d439	ALDOAP2	0.9000732	1.974618	0.9180653	2.3929465	2.0985084	2.6242146
d440	AMTN	1.946844	1.3987112	2.5135572	3.383985	3.5241601	2.946317
d441	ANK1	5.6486454	5.5809474	5.7176437	6.171012	7.2728996	6.8876886
d442	ATP5D	2.753727	3.9886713	3.9393778	4.3772492	4.899749	5.1101723
d443	BAALC	1.8851978	0.9911391	1.0070615	2.7491038	3.2764747	2.885682
d444	BRPF1	0.9616768	1.0473938	0.95611703	2.1491194	2.578269	1.6099958
d445	C17orf100	4.607568	3.8684173	3.1741047	4.6007814	5.0033274	5.0871735
d446	C1orf210	2.3616507	1.6144003	1.0250632	2.6384037	3.1701117	2.8829644
d447	C5orf28	1.6125941	1.9773707	2.720833	3.0984402	3.3283012	3.1896193
d448	CFAP61	1.032642	1.0511686	1.0700641	1.9739857	3.0791254	1.7995749
d449	CIB4	4.9704537	5.4471893	4.889147	5.331034	6.712088	6.7942977
d450	CPEB1	1.1412776	0.8931183	1.0351158	2.196246	2.6316957	2.5007656
d451	CST6	0.8996083	0.9480732	1.9295185	1.8523097	2.282163	2.639178
d452	CTSLP2	2.7234876	1.8491733	3.1367927	3.8008065	3.4742868	3.8682377
d453	CTSW	4.4083114	4.650603	3.8437295	5.429715	5.044109	5.6422076
d454	CXorf67	1.9394376	2.3097084	1.007297	3.045842	3.3280864	2.7919583
d455	DOK3	0.8206642	1.3983918	1.8500586	2.5720217	2.4024243	2.1247523
d456	FAM19A4	0.8800239	0.9121466	1.796259	2.7277098	2.5194156	1.7675756
d457	FCAMR	2.243748	2.6788597	2.3031933	2.84367	3.5695941	3.8219955
d458	FCHO1	2.1998363	1.0441115	1.8844388	3.1159809	2.5304143	2.7118342
d459	GLP2R	1.2921739	0.90523756	2.3382852	2.526272	2.971749	2.3733153
d460	GPR113	2.0259197	0.95629555	0.8613422	2.7182512	2.3036487	1.9374189
d461	GPR139	3.8762684	3.7794101	3.3053513	4.666277	4.3610005	5.018338
d462	GPR55	2.779543	1.9346995	1.6992085	2.661869	3.6849387	3.6234884
d463	GRXCR1	2.656302	3.1642537	2.0571806	3.8527794	3.5211687	3.5273962
d464	GZMH	1.6522659	1.6161413	1.648059	3.0485048	3.0406623	3.608191
d465	HHLA1	1.6092595	0.9621306	1.7334211	2.820365	3.0057213	3.254766
d466	HOXD10	4.144761	3.592844	3.9458542	4.8744335	5.3756914	5.295502
d467	HP	7.9742165	8.492268	8.016491	9.061169	9.011208	9.502485
d468	HPR	7.3581076	7.81597	7.5991564	8.685349	8.8375845	9.35161
d469	IL12A	0.8981494	1.0099173	0.9100084	3.2072012	1.2963324	2.1668565
d470	IL18RAP	2.5553982	1.0303984	1.6202854	2.7422504	2.684316	3.5055122
d471	IL22RA2	0.9031662	0.8848748	0.90779024	1.7439032	1.939986	2.0007286
d472	IL2RB	3.41673	2.9739928	2.011802	4.0253663	3.5847304	4.134091
d473	INSL6	1.1451688	1.091467	1.2879349	3.7289689	2.5958965	2.0869448
d474	JPH4	2.9788585	2.6956308	1.7364249	3.6611972	3.6257162	3.163786
d475	KIAA1586	1.8486371	1.2257588	0.9791994	2.5121992	2.360266	2.455567
d476	KIF1A	1.7659633	1.7342879	1.5845102	3.4371583	2.6709592	3.1231098
d477	KIR2DL2	1.7688411	3.1005056	1.13854	3.3238606	3.1510837	4.181839
d478	KIR2DS3	1.831351	3.1554823	1.714475	3.726231	4.0268497	4.244619
d479	KLRB1	3.5680983	2.798726	2.6824837	4.1159897	3.9885712	4.741163
d480	KPNA7	2.2982857	0.82767093	0.9642169	2.999378	2.922601	2.7762063
d481	KRTAP19-2	6.901587	7.1869354	7.60984	8.118864	9.309067	7.9563193
d482	LOC100287477	0.914396	1.0218924	0.91416746	2.5016377	1.9835465	1.7743601
d483	LOC101060810	0.86878437	0.97716075	0.8981494	4.106377	3.428934	3.6852562
d484	LYZL6	2.520399	2.2732294	3.5125532	4.008593	3.8629334	3.6293917
d485	MCOLN3	1.0145177	1.3048828	1.5232246	1.845539	2.0527318	2.937158
d486	MTRNR2L4	2.7881196	2.6790228	2.7634578	3.7817152	4.186556	3.4346328
d487	NCOA1	2.1691823	1.8755394	0.85231996	2.4899902	2.9851787	3.156625
d488	NFE2	1.084099	1.1326406	1.0606325	1.5534477	2.9109411	2.7006588
d489	NKX2-1	1.1262814	2.6158977	1.1183681	3.0662582	3.0683227	3.0916946
d490	OPCML	1.5170401	2.786419	1.6167632	3.3071635	3.3284187	3.55236
d491	OR1B1	2.811119	1.7988465	1.5126603	3.8783038	3.0776014	3.2542262
d492	OR1J2	2.33526	1.8229213	1.6228223	3.1740222	3.5291386	2.4287586
d493	OR2W3	1.6743573	0.83565634	0.7940291	2.638959	2.4975371	1.5706141
d494	OR52I2	1.8488672	1.6817157	1.6448454	3.2153082	2.8981426	2.684168
d495	OR5H15	0.890697	0.8048116	0.9389555	2.70181	1.3166062	2.5575404
d496	OR9Q2	1.0351158	0.90901285	1.5281819	2.39951	2.2679865	2.2138329
d497	PAX1	1.1651248	2.1054287	1.3775063	2.3072329	3.341616	2.950762
d498	PIM2	1.27896	0.80787927	0.8586931	2.5475888	1.8564068	2.0684958
d499	POLM	3.157175	1.0222017	1.0709739	3.1876135	3.303451	3.8917446
d500	PPEF1	1.769525	3.2861176	2.3993866	3.834206	3.230367	3.9960124
d501	PPP1R27	1.4517728	2.650234	1.0394311	3.2367492	3.1965413	3.6725373
d502	PRKCB	0.8907797	1.3631076	0.9022311	2.6187992	2.761478	1.5491639
d503	SLC36A3	1.9810188	1.2393132	2.5316849	3.0490162	3.0058494	2.8798077
d504	SMIM22	0.9766152	1.9885906	1.6241362	2.6480281	2.7553813	2.8467772
d505	SPATA17	1.8733863	1.177882	2.740047	2.9493747	2.8228145	3.336329
d506	SPG20	1.976113	2.020021	1.9787004	3.5583124	3.033205	2.6894934
d507	SPSB1	1.9471006	1.9291974	2.4285307	3.037483	3.136484	3.5257487
d508	SST	0.963714	1.4294773	1.4895515	2.5705562	3.0047212	1.9664471
d509	SULT1C2	1.1418089	1.2355881	1.4567822	3.1592019	1.7951891	1.9911027
d510	TAT	1.4779122	1.845696	2.2672176	3.0392818	2.9553225	2.9795938
d511	TBC1D21	1.3805767	1.1088302	2.620964	3.2136116	3.338058	3.158373
d512	TC2N	3.9999323	5.373028	4.8365736	5.6603947	5.6109004	6.746125
d513	TFRC	8.780432	8.809288	8.627397	9.8750105	9.263126	10.299226
d514	TULP1	2.5909863	1.2998983	2.785254	3.3602746	3.1957643	3.4906702
d515	UCN2	1.4167182	2.1042871	2.767992	3.1647437	3.174388	3.5128477
d516	XKRX	2.0210793	1.109205	1.0393264	1.9548799	2.6538944	2.785544
d517	YTHDC1	1.5961334	2.412578	1.3100543	3.2728019	2.9949558	3.3281722
d518	ZNF790	3.9255202	3.5566373	3.1414983	4.517818	4.8794584	4.5539374
TF1	RELA	8.541536	8.66853	8.393459	8.525222	8.450988	8.803338
TF2	STAT3	7.392086	7.694097	7.496339	7.487612	7.332617	7.537051
TF3	STAT5A	4.759438	4.681675	4.632757	4.792708	4.604263	4.781927
TF4	STAT5B	5.201028	5.041712	5.511712	5.443866	5.622433	5.248107
TF15	HIF1A	1.6745822	0.9294378	0.8408892	2.3810606	2.0854297	3.100571
