u1	GeneSymbol	Case1	Case2	Case3	control1	control2	control3
u328	MUC20	2.1889758	2.3854675	2.4177382	1.1074368	1.0753385	1.7371998
u329	MUC6	5.857894	5.2109385	5.1629176	4.81709	4.540461	4.7875123
u330	MYF5	3.5407283	3.3344595	3.3206372	3.069913	3.0760782	2.5728927
u331	MYLK	6.139086	5.61713	5.857221	5.5091887	5.3854284	5.2997065
u332	MYLK4	3.2273529	2.8869052	3.7887824	2.7150164	1.763137	2.6234171
u333	MYOCD	9.137511	9.138488	9.160208	8.407955	8.922617	8.870267
u334	NBEAL1	5.275666	5.1761875	5.230035	4.8540196	4.7160373	4.403087
u335	NCKAP5	5.251523	5.0337915	4.946613	4.243768	4.015553	4.2184014
u336	NEB	4.803169	5.741598	5.0520024	3.9085836	4.62283	2.7250862
u337	NEK1	6.7801538	6.6209106	6.5026846	6.253408	6.0964413	6.29082
u338	NES	11.044003	11.526438	11.324148	10.153315	10.760315	10.372118
u339	NEUROD2	3.1667604	3.5538578	3.2426083	2.9850445	2.0117111	2.565322
u340	NKAIN3	3.4376688	3.019072	2.297974	1.9195907	2.2469866	1.6485652
u341	NLRP11	2.0914335	1.4044902	2.427944	0.87192607	1.2161466	1.3241799
u342	NNT	2.2263165	2.487131	3.1166515	1.0878243	1.054353	1.0790393
u343	NOTCH1	12.266723	12.512157	12.445296	12.193583	11.821315	12.023816
u344	NPAS3	1.8451415	1.6714786	1.8178886	0.96813303	0.9168246	1.0752385
u345	NPM2	2.1820755	2.4651997	2.662973	1.7382247	1.009906	0.94837934
u346	NPTN	4.777363	3.8927886	3.9540665	2.9065042	3.4200068	3.2259467
u347	NPW	3.5982974	2.9343436	3.5769484	1.3764559	2.1448133	1.9139224
u348	NR1I3	3.4790764	3.2760751	3.8374634	2.6538656	1.0541549	2.552322
u349	NRK	2.8150911	3.7705765	2.1140635	2.0755713	1.1409171	1.3091562
u350	NRXN1	4.4979453	3.1771505	3.862716	3.1142578	2.5771313	1.5551367
u351	NSMCE2	4.3173394	3.9206443	3.6715899	2.991199	2.6953063	3.3571653
u352	NTM	3.6966717	3.2141936	2.4560041	1.8411736	1.1631296	1.7636914
u353	NTN1	5.0021777	4.6487265	4.449958	4.352007	3.835085	4.0134583
u354	NUPL2	13.275994	12.913938	13.072066	12.706468	12.647107	12.654279
u355	NXF1	3.7913752	3.5211687	3.599925	3.00064	3.111095	3.3780146
u356	OGFRL1	6.6761513	7.287438	6.891653	6.554136	6.1239886	6.3975487
u357	OR10H5	1.7245424	1.8315203	2.4405327	0.9188035	1.3729949	0.8997976
u358	OR2AT4	2.1335425	1.5847132	2.6042929	1.0366411	1.1550874	1.0268509
u359	OR51A2	2.9387498	2.7696233	2.5986006	0.9547907	2.1133595	2.076679
u360	OR51G2	4.839834	4.9644017	4.8526435	4.36317	4.353551	4.3748727
u361	OR51I1	4.1517563	3.8469822	4.4771147	3.4745653	3.5591993	3.684335
u362	OR52K2	6.7485695	6.3700204	6.926135	6.03369	6.3135195	6.2757273
u363	OR8H3	4.3377576	4.118498	3.4184356	3.100004	3.101782	3.0484238
u364	OSBP2	8.0868225	7.3273554	7.5582485	6.7249146	7.249427	6.592588
u365	OSBPL5	7.059601	6.978355	7.0481396	6.622336	6.449783	6.7523193
u366	OSGIN2	6.3412123	6.147818	6.031881	5.883517	5.3802066	5.5594945
u367	P2RX2	6.988671	6.5453463	6.6620784	6.314375	6.164626	6.0908737
u368	PAG1	5.724154	5.679302	5.1804338	5.1244	5.1170654	4.997187
u369	PAICS	2.537623	2.3166163	2.3998227	2.0437722	0.8526019	1.6196406
u370	PAK1	5.7467113	5.0023026	4.988866	4.529911	4.6031866	4.6580033
u371	PANX1	5.8687863	6.2882786	5.7814736	5.468478	5.27376	5.209738
u372	PAPD5	1.3844858	1.60794	2.4012997	0.8443617	0.84821784	0.8589309
u373	PAPL	12.570708	12.309172	12.382948	11.776736	11.959778	12.037648
u374	PARD3B	6.5441813	6.5295825	6.1318326	5.883434	5.979433	6.0153403
u375	PAXBP1	6.192867	5.984275	5.9517837	5.360991	5.356637	5.77673
u376	PBX3	5.708564	5.4146724	4.975864	4.4081726	4.7708225	4.4322524
u377	PCDH8	2.4285307	2.1674826	2.073845	0.8247757	0.79948187	0.8074102
u378	PCDHB6	3.6344397	2.3911216	3.0412016	1.1095883	1.0913188	2.0245097
u379	PCDHGA8	2.6671457	2.9564824	3.1486661	2.1988063	1.3670957	1.1022302
u380	PCOLCE2	5.1101723	5.30809	4.841289	4.7566996	4.7397966	4.5885096
u381	PCSK6	7.129923	6.5881257	7.1635914	6.1058292	6.062688	5.949919
u382	PDE2A	7.036715	7.248008	7.5685196	6.5787144	6.535567	6.9694786
u383	PDE4D	3.4261296	4.6693316	3.3030217	1.5037606	3.250037	1.8646739
u384	PDE9A	8.758727	8.796731	8.693931	8.16031	8.224316	8.663376
u385	PDIA2	1.6500759	1.4982028	2.387546	0.79370695	0.8446752	0.8320587
u386	PDIA3	12.382948	12.258233	12.085639	11.728608	11.734276	11.922887
u387	PDPN	10.020585	9.871172	10.109167	9.266838	9.814716	9.557644
u388	PDS5A	2.9223354	2.7154698	2.799394	1.8824569	2.5498607	1.8713491
u389	PHACTR2	2.153367	3.230938	2.045271	1.0087682	1.8197669	1.4763355
u390	PHF20L1	3.444032	3.4567416	2.4111512	2.421787	1.7640867	0.8726616
u391	PHLDB2	4.9155436	5.1057487	4.5782514	4.400881	3.9861045	3.054311
u392	PIRT	1.602277	1.2719462	1.6631112	0.9011285	1.0397623	1.0022774
u393	PKD1L1	3.7702198	4.9651837	5.0776963	3.0854664	3.9726398	2.3411496
u394	PKD2	3.5721006	2.6492507	3.2822108	1.9970274	2.3813484	2.2626848
u395	PLCB2	5.5502596	5.342349	5.0843587	4.877021	4.915362	4.585269
u396	PLEKHG4B	5.623085	5.4364944	5.4249787	5.05002	4.8372664	5.166369
u397	PLEKHH1	6.6108146	6.302306	6.5979304	6.0701237	6.0697856	5.9337935
u398	PLG	6.4812045	6.267358	5.482548	5.080686	5.470621	5.409809
u399	PLGLB1	4.6428485	4.6931343	3.9480546	3.9186876	3.7603452	3.582101
u400	PLP1	4.099234	3.7398055	3.8060527	3.1949174	2.686433	2.632667
u401	PLXDC1	7.7623844	7.626985	8.002499	7.319207	7.3309116	6.5509377
u402	PLXNA4	2.4585478	2.9859235	2.150083	1.6507273	0.91167986	1.8011143
u403	PMEPA1	4.310427	4.2429953	4.7659993	3.8247526	3.8532288	3.2100854
u404	PNMA2	4.096987	3.7166574	3.941508	2.6077325	2.0777154	3.5877557
u405	PODN	7.2162533	7.261621	6.9523487	6.773562	5.694025	6.082242
u406	POLN	2.491866	2.8522456	1.6611909	1.0694392	1.0927614	1.6617068
u407	POLR3G	2.5153809	1.2509359	1.9564811	0.86041725	0.97407675	0.91443896
u408	POU5F1	4.1000547	3.289731	4.540441	2.6463103	2.441636	3.092139
u409	PP12708	3.146687	1.979871	2.4168842	1.3990729	1.0261773	1.1874276
u410	PPIP5K1	2.8662767	3.4391112	3.4765043	2.8418956	1.7481892	1.5651796
u411	PPM1K	7.38443	7.6581464	7.6033864	7.1287255	6.6752253	6.700946
u412	PPP1R21	5.354822	5.895439	5.365725	5.0559754	4.9708824	4.909255
u413	PRICKLE2	6.4736543	5.766218	5.6539526	5.5426173	5.0533886	4.9315004
u414	PRKAR2B	8.854852	8.792812	8.743716	8.229038	8.347071	7.991147
u415	PRKG1	7.4013567	7.4378877	7.543611	7.310885	6.9388533	6.853473
u416	PRMT2	6.698147	6.4550447	6.4540854	6.251055	6.267048	5.9468737
u417	PRO2012	4.433343	4.5202804	3.7809482	3.6345692	3.1472242	3.5120144
u418	PRRC2C	4.6723003	4.151002	3.5245001	3.1464794	3.1761217	2.4701166
u419	PTGFRN	8.694143	8.786812	8.8214035	8.227435	8.127978	7.566757
u420	PTN	10.269678	10.0814085	9.520794	9.398756	8.84772	8.717722
u421	PTPRZ1	4.9812665	3.9833496	4.082344	3.344221	2.2996662	3.389948
u422	QKI	3.680474	3.4706423	3.7187712	3.2577488	2.7798917	2.1505783
u423	R3HDML	6.099689	6.1203356	6.191657	5.424193	5.648428	5.865951
u424	RAB23	9.322775	9.403016	9.004463	8.851483	8.769683	8.678291
u425	RAB33A	4.445139	4.4287167	4.3028154	3.9005527	3.9152555	4.139485
u426	RABGAP1L	11.783866	11.331534	10.940602	10.615135	10.704145	10.647976
u427	RAD54L2	4.5009356	4.6248746	3.8345115	3.6718986	3.7177012	3.5726933
u428	RALGPS2	3.6737561	3.2583127	3.5234375	3.1209	2.9424968	2.7858832
u429	RAPGEF6	3.0983224	3.1200628	2.225936	1.3953702	0.7981646	0.8010081
u430	RARB	3.6393547	4.4526844	4.0295086	3.1453934	3.2209444	3.2071333
u431	RASAL2	8.801142	8.982185	8.802043	8.11984	8.516984	8.467825
u432	RBM39	6.922208	7.242814	7.1898794	6.7176504	6.697329	6.6161904
u433	REC8	3.4885488	3.4583066	3.884254	3.1413312	3.204236	3.1101844
u434	RECQL5	2.431254	2.3686202	2.3039079	1.2178416	1.467048	2.2457612
u435	REPS2	3.5431972	3.0789132	3.2147744	2.1875172	1.0482774	2.7801201
u436	RGS11	5.5931344	5.384075	5.825913	5.2601542	4.892995	4.8976216
u437	RGS14	5.545083	5.262512	5.492818	4.771003	4.3862505	5.0004187
u438	RGS20	3.2000763	2.0267997	1.9641823	0.8706714	1.1861049	0.8794017
u439	RGS22	2.899014	3.2849488	2.7261992	1.1810133	1.2177504	2.1986783
u440	RGS4	6.166348	5.838826	5.3601623	4.622774	5.002407	5.0195537
u441	RIMS2	3.3921313	3.7373605	3.1627717	3.0185256	2.6902747	3.0789132
u442	RNF103	5.271878	5.4598503	5.054263	4.1734896	4.8297157	4.693312
u443	RNF157	5.6616573	5.4674397	5.6807036	4.8488235	4.905046	5.160344
u444	RNF165	4.9699383	4.4174438	4.555771	3.1607227	4.439928	3.2534816
u445	RNF212	2.995946	3.432329	3.053295	1.7827911	1.8386005	2.2717466
u446	RNF34	4.643603	4.771309	4.5933323	4.2000575	4.1638126	4.0413938
u447	ROCK2	6.5129404	6.961624	6.721219	6.4884253	6.2639866	6.0710163
u448	RPS21	3.2777724	3.6858025	3.9396653	3.1512446	2.6096005	2.9610054
u449	RQCD1	5.6356597	5.552549	5.1866426	4.9805293	4.756004	5.1608243
u450	RRP12	2.618164	1.9606735	1.884252	1.2517651	0.8443286	1.5215367
u451	RTF1	2.620781	2.6737988	1.654277	1.3971355	1.2813234	1.3517786
u452	S100B	4.9910326	4.1007433	5.2314186	3.8682377	3.138335	3.8262534
u453	S1PR3	7.723531	7.0771008	7.7803836	6.952919	6.956581	6.9156494
u454	SACS	6.5139666	6.4804606	6.628265	6.2074623	5.6459975	5.6811895
u455	SAG	5.9256525	5.6659064	6.0524583	5.4643292	5.369767	5.5118723
u456	SAMD12-AS1	1.6171951	2.357642	2.6849852	1.173903	1.6308811	1.1215765
u457	SAP25	2.7341857	2.4468753	3.4453945	1.1016812	2.1509929	1.6874459
u458	SCARA5	8.601973	8.342887	8.299503	7.5153084	7.3045697	7.7289205
u459	SCUBE2	7.149597	6.169498	6.6964374	6.004799	5.9115114	4.8738823
u460	SCUBE3	8.84772	7.7794237	7.9919977	6.675707	7.132629	6.8473854
u461	SDR9C7	2.948429	3.0444422	2.8506382	1.9967374	2.037734	1.659828
u462	SEPT3	2.0152075	1.4896474	1.6559968	0.8805095	0.86476576	0.85168624
u463	SERP2	2.1127126	2.4006362	2.6306968	0.8015157	0.8354517	1.790716
u464	SF3B3	4.525639	4.426302	4.3494725	3.538618	3.7702198	3.3508015
u465	SFT2D1	3.2284427	3.0291955	3.5669377	2.984182	2.1445105	2.595439
u466	SFTPA1	3.1606183	3.2136574	3.7195394	2.643143	2.8374188	3.0222776
u467	SGCD	8.662666	8.505407	8.401148	8.404842	8.035429	7.9863553
u468	SHISA5	5.0946856	4.1146317	4.076627	3.6660626	3.3936794	3.5460308
u469	SHROOM1	5.08229	5.047557	5.0891185	4.6819596	4.692962	4.492692
u470	SIPA1L3	3.0315895	3.1435635	3.6041868	2.2968922	2.5263734	1.9669358
u471	SKIL	6.9629803	6.6227345	6.78278	6.4128585	6.2033796	6.403825
u472	SLAIN1	3.3192074	3.3557353	3.6912458	3.2185764	2.8814106	3.017487
u473	SLC18A3	10.674124	10.415045	10.480569	9.978464	10.15242	10.286318
u474	SLC1A3	6.526646	6.800366	7.127589	6.0250006	6.320707	6.2290177
u475	SLC22A1	5.5491934	5.4867773	5.095642	4.794928	5.026602	4.872464
u476	SLC22A18	10.525742	10.619774	10.185033	9.8881445	9.928438	10.15142
u477	SLC25A16	10.112864	9.871705	9.881715	9.05053	9.47999	9.57182
u478	SLC25A53	5.769676	5.6555214	5.740517	4.98118	4.760554	4.93564
u479	SLC26A7	3.6540418	3.679482	2.6782205	2.7491791	1.3101782	1.9254574
u480	SLC2A8	2.8571668	2.7704663	2.5011215	1.9892498	0.8707042	0.84915537
u481	SLC2A9	4.8617396	4.60306	5.150652	4.4465523	3.8993707	3.9715197
u482	SLC32A1	5.9132624	5.6348486	5.33482	5.2464113	5.162064	5.1141267
u483	SLC38A2	4.8598704	4.944951	4.351924	4.060705	3.4593258	4.1593657
u484	SLC38A6	8.844932	8.59671	8.769394	8.509661	8.187388	8.024375
u485	SLC38A8	3.157807	2.904565	3.239274	1.9814663	1.7723281	1.8308132
u486	SLC5A7	3.827464	4.0351715	4.265603	3.1290193	2.6575625	3.7460928
u487	SLC7A7	3.8345115	3.485762	3.1425657	2.8324842	2.9862695	3.0844288
u488	SLC8B1	6.057759	6.1134205	6.185485	5.6150384	5.230969	5.6643834
u489	SLC9A4	10.820482	10.402317	10.321589	9.966857	10.167398	10.105071
u490	SLC9A9	4.2355995	4.13703	3.3344905	3.4683344	2.375127	2.8576481
u491	SLC9B1	2.5056334	1.5923243	1.6204062	0.88221335	0.9684081	0.89862674
u492	SLMAP	5.347642	4.976732	5.8974466	4.991555	3.8328512	3.94059
u493	SMOC2	8.457664	8.336228	8.345511	8.167655	7.618929	7.290282
u494	SNTB1	6.106382	5.975113	6.2433662	5.517135	5.536989	4.605695
u495	SNX29	5.534888	5.264585	5.118119	4.7686744	5.0015645	4.598677
u496	SORBS2	6.418235	6.381694	6.2971835	5.084022	6.0189905	5.8726974
u497	SOS1	7.446404	7.369662	7.318531	6.7956066	6.954235	6.908901
u498	SOX13	3.766652	3.7765422	3.8099384	3.0937605	3.6050937	3.5088778
u499	SOX5	3.9367723	4.0997605	4.37914	3.5839076	3.9383125	3.4319234
u500	SPAG11B	3.0844672	2.3321068	2.230326	0.9091757	1.7893399	1.1628534
u501	SPOP	4.460638	3.9051666	4.0484896	3.347725	3.1330354	3.5175452
u502	SPRR2D	4.979601	4.9786553	4.9207125	4.4861784	4.670268	4.502907
u503	SPTBN1	10.353972	10.298868	10.581718	10.109629	9.948129	9.678382
u504	SPTY2D1	4.06439	3.541371	3.6669514	2.3554072	2.5098224	2.7309592
u505	SRPK2	6.6483774	6.576454	6.3588758	6.26299	6.159137	5.991871
u506	SRRT	2.1866364	1.9105153	1.7151678	1.6019623	0.94636136	1.1599559
u507	SSUH2	6.3010855	6.593269	6.4194784	6.1514425	6.1236157	5.7521
u508	STAG2	4.6109624	4.506452	4.28285	4.1863465	3.3828325	3.833129
u509	STARD10	4.070836	2.9970455	2.8881931	2.5077546	0.9887031	1.8621975
u510	STARD13	3.899853	4.3108764	4.1331687	3.2945719	2.3411496	2.56949
u511	STATH	2.2776046	2.50887	2.9803822	1.1399753	1.0588102	1.0652719
u512	STAU2	6.7329216	6.36821	6.6983404	6.209071	6.073787	6.1114035
u513	STC2	1.691591	1.9988618	3.0743062	1.0614916	1.1142008	1.1017587
u514	STK36	3.1145034	2.891055	2.5110576	1.2767912	2.0485177	2.367016
u515	STK38L	4.1268034	4.2560935	3.30922	3.0206113	3.0202718	3.0044396
u516	STXBP5	4.7483735	5.1500816	4.8986006	4.3356667	4.6731505	4.3146715
u517	SUSD5	5.2402	4.7852707	4.795669	4.572169	4.586701	4.25447
u518	SVIL	5.1205773	5.32385	5.5741615	4.8247485	4.420275	4.4331527
u519	SYNGR1	3.4611106	3.1715524	3.3040617	2.6721475	2.4569874	2.9785464
u520	SYNPO2	3.7063348	3.6817539	3.223686	3.0887604	2.7710254	2.6260066
u521	SYT17	4.93749	4.0238843	4.4254837	3.5862885	3.5225837	2.3096426
u522	TAB3	5.126548	4.80606	5.021508	4.372264	4.3175945	4.749309
u523	TAF5L	5.2931027	5.226026	5.5330486	4.8433633	4.763727	4.9071407
u524	TAS2R10	4.718484	3.7496912	3.1451719	2.8178442	1.9084625	2.8502412
u525	TAS2R19	5.499935	5.1414433	4.6793847	4.1540833	4.1264367	3.6002452
u526	TAS2R8	3.0369296	2.1967356	2.354078	2.0139012	1.3529483	1.0122051
u527	TBC1D8B	3.977684	3.5284836	2.5472965	2.1081285	1.2651124	0.99326444
u528	TBK1	4.4190664	3.8374634	4.006727	2.9867969	2.814623	3.0327604
u529	TBRG1	3.075388	2.7109175	3.4133782	2.4476728	1.9507005	2.470727
u530	TCEANC	5.3586483	5.354549	4.8637223	4.6115103	4.7595177	4.634705
u531	TCF7	5.775028	5.699189	5.8172035	5.5519733	4.887469	4.6569157
u532	TCF7L2	2.2660735	2.6297107	1.8673277	0.94907683	0.9699229	1.3447945
u533	TCOF1	9.754209	9.6088705	9.694936	9.136127	9.231247	9.359253
u534	TEC	2.6664145	2.4710493	1.7290666	1.7596619	1.1981766	0.857587
u535	TENM3	4.124458	4.154442	4.193144	3.0820005	2.9295928	3.7144299
u536	TEX101	4.2272735	4.58267	4.3524942	4.046541	3.971224	3.5015154
u537	TGFB3	6.2720675	6.2146726	5.816739	5.8567824	5.34866	5.564079
u538	THBS1	10.296862	10.130867	10.293474	9.917877	9.71051	9.935196
u539	THBS2	5.7829523	5.5283937	4.2467337	4.167458	3.5454473	4.024266
u540	THEG	8.235325	7.681627	6.919328	6.7627745	6.5778213	6.5875773
u541	TIAM1	4.0847383	3.906652	3.558809	3.051474	3.0438964	3.2375236
u542	TIAM2	5.304848	5.3302517	4.840715	4.602868	4.690781	4.549231
u543	TM4SF20	1.4385082	2.4874837	2.1896734	0.84347284	0.81071514	0.82455796
u544	TMBIM6	3.5330064	3.1490707	3.1219018	1.9281931	2.392631	2.1529229
u545	TMC4	3.5626025	3.2718537	3.2288198	2.9065602	2.2804937	2.5770876
u546	TMEM106B	1.1570997	1.5342597	1.9421899	0.95063317	0.94458836	0.98887414
u547	TMEM14E	3.382311	3.987297	3.009722	0.99075574	2.7865586	1.7334211
u548	TMEM229B	7.899771	7.5217414	7.548444	7.2112947	6.972946	7.1959333
u549	TMEM95	9.854844	9.556154	9.865859	9.332096	9.473831	9.222533
u550	TMOD2	6.23804	5.768625	6.2639866	5.2027864	5.544416	5.33652
u551	TMPRSS4	4.4050417	4.9031	4.795226	4.1919837	3.9473963	4.0996933
u552	TNFRSF19	6.859908	6.654906	6.30462	5.9600387	6.016226	5.8169065
u553	TNFSF11	2.1835852	2.9070451	2.3486323	1.543155	1.7030197	1.0887401
u554	TNRC6A	6.2155733	6.1366835	5.770191	5.578977	5.5120654	5.723737
u555	TRAF5	4.8066573	4.7083526	4.308573	4.0935717	3.9110036	4.0463676
u556	TRIM50	4.404352	4.143326	4.065321	3.4904006	3.4636536	3.112097
u557	TRMT44	9.512477	9.320926	9.062138	8.767884	8.860104	8.937046
u558	TRPC6	6.293102	6.31476	6.1515594	5.952304	5.8820496	5.721381
u559	TRPV3	5.198259	5.421539	5.112849	4.4140253	4.537504	5.0221505
u560	TSPAN11	5.079422	4.400881	5.063811	4.083529	4.4031777	4.3203607
u561	TSPO	4.5695324	4.674652	4.3713655	4.3447165	4.120573	3.9318833
u562	TTC26	3.5237575	3.7603452	3.5649862	3.4363532	2.269111	2.5871248
u563	TTC3	9.660283	9.55382	9.652946	9.20674	9.222807	9.126829
u564	TTC9	3.2888327	3.9399345	3.7366982	2.7447383	3.2697752	2.4792047
u565	TTLL7	5.136449	4.5519214	4.408938	3.7615998	3.5611827	3.6154451
u566	TUBB2A	6.8559628	6.361911	6.9179587	5.891903	6.213548	5.7924633
u567	TULP4	4.261089	4.3912163	3.862482	3.7463124	2.9938538	3.2282138
u568	TWSG1	2.8517668	2.4247887	2.4415915	2.1706395	0.8871556	0.89705825
u569	TYW1	6.0964413	5.7322927	5.794148	5.453259	5.384819	5.6374464
u570	UBE2B	3.301024	3.079283	2.9568152	2.3387678	1.2520604	2.0423117
u571	UCHL1	2.2477186	2.877352	3.6966717	1.1218743	1.9809076	1.0602406
u572	UGGT2	5.424193	5.3154945	4.864638	4.920923	4.140098	4.4039774
u573	ULBP3	4.528471	3.9412575	4.45702	3.262931	3.2285602	1.4482596
u574	UNC13D	6.7717185	6.7322903	7.505914	5.8062005	5.892687	5.986987
u575	UNC80	8.319227	7.7144403	7.555049	7.054317	7.142041	7.2971396
u576	USB1	4.8212843	4.974401	5.2063837	4.7011795	4.429586	4.4700565
u577	USP6NL	3.7711923	4.2868624	4.17006	3.4206555	2.5597243	3.303375
u578	VCP	3.901448	3.6661053	3.4281664	2.893778	2.8538568	3.4245496
u579	VIPR1	6.6440644	6.129775	6.062055	4.9875503	5.492936	5.3683004
u580	VPS13B	3.1373932	2.8572807	2.7373412	1.8437941	1.4018977	2.6606746
u581	VWA1	2.2757401	2.7131658	2.3999126	1.7198297	0.909889	0.9470708
u582	WBP11	4.080183	4.005196	4.2666407	3.3676305	3.5331802	3.968304
u583	WDR78	3.00188	2.0813344	3.1071157	1.4398985	1.7812265	0.9598785
u584	WDR86	3.9627585	3.7988958	3.2801402	2.9894638	3.1677873	3.217965
u585	WHAMMP3	4.139226	4.317388	4.376629	4.068399	3.4838414	3.0491757
u586	WTH3DI	2.004036	2.38521	2.8689504	0.8571576	1.316309	0.8430065
u587	XKR4	5.3659625	4.991378	5.5530524	4.240597	4.0364647	4.357222
u588	XRCC3	10.811835	10.824209	10.760956	10.603155	10.538013	10.113192
u589	ZC2HC1B	5.710722	5.6473093	6.201283	5.355076	5.4448614	5.1064553
u590	ZCCHC14	6.559652	6.4194784	6.478052	5.8490386	5.8502336	5.9170012
u591	ZCCHC6	4.345897	3.4583921	3.4683344	2.7050087	2.7700975	2.7531426
u592	ZDBF2	5.9660654	6.0775943	5.805742	5.407797	5.1648397	5.280693
u593	ZKSCAN2	5.6338243	5.3343277	5.2202883	4.991954	5.091767	4.90363
u594	ZMAT3	6.2105536	6.001857	6.03369	5.789258	5.5352945	5.3612695
u595	ZNF107	2.5708365	2.7826276	2.567525	1.1176946	1.8327512	1.0251439
u596	ZNF182	4.3243794	4.689972	4.8906994	4.270114	4.069884	4.164873
u597	ZNF226	4.1543827	3.8744364	4.2409534	3.7420826	3.3419876	3.5641098
u598	ZNF248	6.9436374	6.592396	6.6375704	6.5084043	6.272137	6.1696587
u599	ZNF34	5.237895	4.7701073	4.6301208	4.3531785	4.4303446	4.1634135
u600	ZNF407	3.0875068	3.2859547	3.2322507	2.3790078	1.4085677	1.7081342
u601	ZNF507	1.4726696	2.059419	1.3000126	0.9547336	0.9975487	1.0082568
u602	ZNF518A	3.1232014	2.8808098	2.5925715	1.0953155	1.3707135	1.0875949
u603	ZNF519	6.298506	6.753619	6.2105536	5.9885015	5.763653	5.770191
u604	ZNF521	4.9406514	5.2122393	4.491282	3.96486	4.2974324	4.418193
u605	ZNF621	1.7851038	2.5158222	2.7090588	1.1788723	1.1175973	1.0868
u606	ZNF814	3.247612	2.714912	2.070167	1.150082	2.1539629	1.1382654
u607	ZSCAN30	7.9167867	7.7622404	7.6291137	7.4723244	7.4120417	7.2696815
TF1	RELA	8.541536	8.66853	8.393459	8.525222	8.450988	8.803338
TF2	STAT3	7.392086	7.694097	7.496339	7.487612	7.332617	7.537051
TF3	STAT5A	4.759438	4.681675	4.632757	4.792708	4.604263	4.781927
TF4	STAT5B	5.201028	5.041712	5.511712	5.443866	5.622433	5.248107
TF15	HIF1A	1.6745822	0.9294378	0.8408892	2.3810606	2.0854297	3.100571
